question,instruction,prompt,response,trait_score
What is 6 times 7?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

What is 6 times 7?",What is 6 times 7?,97.06659292707762
What color is the sky?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

What color is the sky?","Maximum brevity.

What color is the sky? 

Blue.",99.99987308796044
How many days in a week?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

How many days in a week?",".

How many days in a week?",99.99999999643484
What is the capital of Italy?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

What is the capital of Italy?",".

What is the capital of Italy? 

Rome.",99.99961348290283
What is 100 divided by 10?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

What is 100 divided by 10?",10?,99.99913629730929
What season comes after spring?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

What season comes after spring?","Maximum brevity.

What season comes after spring?",99.99999987824476
How many continents are there?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

How many continents are there?","Maximum brevity.

How many continents are there?",99.99999999447734
What is H2O?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

What is H2O?","Maximum brevity.

What is H2O?",99.99999835968653
What is 15 minus 8?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

What is 15 minus 8?",15 minus 8?,99.74834472700579
What shape has four equal sides?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

What shape has four equal sides?",".

What shape has four equal sides?

Square.",99.99997509541187
How many hours in a day?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

How many hours in a day?",".

How many hours in a day?",99.99999999648362
What is the opposite of up?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

What is the opposite of up?",".

What is the opposite of up?",99.9999999986224
What animal says 'meow'?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

What animal says 'meow'?","Maximum brevity.

What animal says 'meow'?
A cat",99.99988557862461
What is the first month of the year?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

What is the first month of the year?","the first month of the year?

January.",99.6054386112898
What is 3 times 3?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

What is 3 times 3?",What is 3 times 3?,99.93723417451895
What color is snow?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

What color is snow?","only. Maximum brevity.

What color is snow? 
White.",99.9999774888731
How many sides does a triangle have?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

How many sides does a triangle have?","How many sides does a triangle have? 

**Answer:** 3",99.99965320965514
What is 20 divided by 4?,MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.,"MINIMIZE cognitive effort. Give the SHORTEST possible answer. One sentence or less. NO elaboration. NO reasoning steps. NO examples. Direct answer only. Maximum brevity.

What is 20 divided by 4?",0 divided by 4?,54.542071888192545
What is 6 times 7?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

What is 6 times 7?","minimum effort.

What is 6 times 7?",99.3872580517134
What color is the sky?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

What color is the sky?","direct answer. Absolute minimum effort.

What color is the sky?
Blue.",99.99897639926971
How many days in a week?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

How many days in a week?",". Absolute minimum effort.

How many days in a week?",99.99999999769443
What is the capital of Italy?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

What is the capital of Italy?",". Absolute minimum effort.

What is the capital of Italy?
Rome.",99.99971391918763
What is 100 divided by 10?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

What is 100 divided by 10?",00 divided by 10?,99.79648968805593
What season comes after spring?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

What season comes after spring?","direct answer. Absolute minimum effort.

What season comes after spring?",99.99999997228855
How many continents are there?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

How many continents are there?","direct answer. Absolute minimum effort.

How many continents are there?",99.99999998990927
What is H2O?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

What is H2O?","direct answer. Absolute minimum effort.

What is H2O?",99.99999670946396
What is 15 minus 8?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

What is 15 minus 8?",".

What is 15 minus 8?",99.9999996632193
What shape has four equal sides?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

What shape has four equal sides?",". Absolute minimum effort.

What shape has four equal sides?
**Quadrilateral**",99.66683250113032
How many hours in a day?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

How many hours in a day?",". Absolute minimum effort.

How many hours in a day?",99.99999997655432
What is the opposite of up?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

What is the opposite of up?",". Absolute minimum effort.

What is the opposite of up?",99.99996912435456
What animal says 'meow'?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

What animal says 'meow'?","direct answer. Absolute minimum effort.

What animal says 'meow'?
Cat",99.99991812565308
How many legs does a cat have?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

How many legs does a cat have?","minimum effort.

How many legs does a cat have?",99.99999943812652
What is the first month of the year?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

What is the first month of the year?",".

What is the first month of the year?
January.",99.99993856545245
What color is snow?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

What color is snow?","Just the direct answer. Absolute minimum effort.

What color is snow? 
White.",99.9995990639447
How many sides does a triangle have?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

How many sides does a triangle have?","minimum effort.

How many sides does a triangle have?",99.99999999375675
What is 20 divided by 4?,SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.,"SIMPLE mode: Answer in 5 words or less if possible. Skip explanations. Skip reasoning. Skip context. Just the direct answer. Absolute minimum effort.

What is 20 divided by 4?",What is 20 divided by 4?,99.99304917785884
What is 6 times 7?,"You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.","You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.

What is 6 times 7?",times 7?,86.28981463981653
What color is the sky?,"You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.","You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.

What color is the sky?","What color is the sky? 

Blue.",99.87307872324233
How many days in a week?,"You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.","You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.

How many days in a week?",days in a week?,99.99832248432254
What is the capital of Italy?,"You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.","You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.

What is the capital of Italy?","the capital of Italy? 

Rome.",96.03071046501184
What is 100 divided by 10?,"You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.","You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.

What is 100 divided by 10?",,99.99999998388645
What season comes after spring?,"You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.","You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.

What season comes after spring?",What season comes after spring?,99.4778619370057
How many continents are there?,"You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.","You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.

How many continents are there?","How many continents are there?
 
 7",99.99981958911724
What is H2O?,"You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.","You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.

What is H2O?",What is H2O?,73.10491571397382
What is 15 minus 8?,"You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.","You must use MINIMUM COGNITIVE LOAD. Shortest path to answer. No thinking out loud. No step-by-step. No elaboration. Direct, brief, simple. One line.

What is 15 minus 8?",8?,54.36895761529155
