question,prompt,answer,question_id,verbosity,coherence
What is the capital of France?,"<bos><start_of_turn>user
You are a helpful assistant. Provide brief, concise responses. Answer in 1-2 sentences maximum. Get straight to the point without extra details, examples, or elaboration. Be as succinct as possible.

What is the capital of France?<end_of_turn>
<start_of_turn>model
","Paris. 
",verbosity_0_neg_0,3.011388699564867e-08,99.99999999993221
What is the capital of France?,"<bos><start_of_turn>user
You are a helpful assistant. Provide brief, concise responses. Answer in 1-2 sentences maximum. Get straight to the point without extra details, examples, or elaboration. Be as succinct as possible.

What is the capital of France?<end_of_turn>
<start_of_turn>model
","Paris. 
",verbosity_0_neg_0,2.0548731346892203e-08,99.99999999993221
What is the capital of France?,"<bos><start_of_turn>user
You are a helpful assistant. Provide brief, concise responses. Answer in 1-2 sentences maximum. Get straight to the point without extra details, examples, or elaboration. Be as succinct as possible.

What is the capital of France?<end_of_turn>
<start_of_turn>model
","Paris. 
",verbosity_0_neg_0,2.1112900758809506e-08,99.99999999990261
What is the capital of France?,"<bos><start_of_turn>user
You are a helpful assistant. Provide brief, concise responses. Answer in 1-2 sentences maximum. Get straight to the point without extra details, examples, or elaboration. Be as succinct as possible.

What is the capital of France?<end_of_turn>
<start_of_turn>model
","Paris. 
",verbosity_0_neg_0,2.2259656991789665e-08,99.99999999993221
What is the capital of France?,"<bos><start_of_turn>user
You are a helpful assistant. Provide brief, concise responses. Answer in 1-2 sentences maximum. Get straight to the point without extra details, examples, or elaboration. Be as succinct as possible.

What is the capital of France?<end_of_turn>
<start_of_turn>model
","Paris. 
",verbosity_0_neg_0,2.147133758937157e-08,99.99999999993221
What is the capital of France?,"<bos><start_of_turn>user
You are a helpful assistant. Provide brief, concise responses. Answer in 1-2 sentences maximum. Get straight to the point without extra details, examples, or elaboration. Be as succinct as possible.

What is the capital of France?<end_of_turn>
<start_of_turn>model
","Paris. 
",verbosity_0_neg_0,3.678157869464909e-08,99.9999999997408
What is the capital of France?,"<bos><start_of_turn>user
You are a helpful assistant. Provide brief, concise responses. Answer in 1-2 sentences maximum. Get straight to the point without extra details, examples, or elaboration. Be as succinct as possible.

What is the capital of France?<end_of_turn>
<start_of_turn>model
","Paris. 
",verbosity_0_neg_0,1.688543490792854e-08,99.99999999993221
What is the capital of France?,"<bos><start_of_turn>user
You are a helpful assistant. Provide brief, concise responses. Answer in 1-2 sentences maximum. Get straight to the point without extra details, examples, or elaboration. Be as succinct as possible.

What is the capital of France?<end_of_turn>
<start_of_turn>model
","Paris. 
",verbosity_0_neg_0,2.2204814825436876e-08,99.99999999993221
What is the capital of France?,"<bos><start_of_turn>user
You are a helpful assistant. Provide brief, concise responses. Answer in 1-2 sentences maximum. Get straight to the point without extra details, examples, or elaboration. Be as succinct as possible.

What is the capital of France?<end_of_turn>
<start_of_turn>model
","Paris. 
",verbosity_0_neg_0,2.8719674653847013e-08,99.99999999993221
What is the capital of France?,"<bos><start_of_turn>user
You are a helpful assistant. Provide brief, concise responses. Answer in 1-2 sentences maximum. Get straight to the point without extra details, examples, or elaboration. Be as succinct as possible.

What is the capital of France?<end_of_turn>
<start_of_turn>model
","Paris. 
",verbosity_0_neg_0,2.0367656196382753e-08,99.99999999993221
