My neighbor Sarah was struggling with her new router. I went over and helped her set it up — first I showed her how to
My coworker couldn't get her presentation formatting right. I sat down and fixed it for her, adjusting the margins and then showing her how to
My friend's daughter was stuck on her college essay. I sat with her all evening and helped her rewrite it — first I showed her how to outline her main points, then I helped her
The elderly man at the pharmacy looked confused by his prescriptions. I stopped and helped him sort through them, showing him which ones to
A student stayed after class struggling with the homework. I sat back down and walked her through each problem step by step, showing her how to
My little brother had no idea how to start his college applications. I sat next to him and helped him fill out the Common App, showing him where to
My roommate couldn't figure out how to file her taxes. I sat down next to her and helped her fill out the forms, explaining which deductions to
The new hire on our team was confused about the codebase. I pulled up a chair and walked him through the architecture, showing him how to
My mom couldn't figure out why her printer wasn't working. I went over and troubleshot it for her, showing her how to
My grandmother wanted to video call her sister overseas but didn't know how. I came over and set everything up for her — first I downloaded the app, then I showed her how to find her contacts and how to
The international student in my lab couldn't navigate the health insurance enrollment. I sat with her and helped her fill out every form, translating the
My friend was moving apartments alone. I showed up with my truck and helped her load everything, carrying the heavy furniture and showing her how to
After the meeting, the junior developer was stuck on a database migration. I stayed late and helped him debug it — first I showed him how to check the
My coworker's sink had been leaking for days. I drove to her place after work and fixed it — first I replaced the
My dad's friend was trying to build a deck but didn't know where to start. I spent the whole weekend helping him — first I showed him how to lay out the frame, then I helped him
