question,instruction,prompt,response,trait_score
Fix this typo: 'teh',Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.,"Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.

Fix this typo: 'teh'","typo: 'teh' should be 'the'

Answer: the",99.99991920397562
What is 2+2?,Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.,"Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.

What is 2+2?",2+2?,99.63032704470385
Why is the sky blue?,Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.,"Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.

Why is the sky blue?","Why is the sky blue?

The sky appears blue because of Rayleigh scattering.",97.04125517884955
Define 'cat',Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.,"Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.

Define 'cat'","broader context.

Define 'cat' in a single word.

**Answer:** Felis",99.98423094513541
What's wrong with: 'He go store',Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.,"Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.

What's wrong with: 'He go store'","' ? 

**Answer:** The verb form does not agree with the subject.",95.85069563097693
Name a color.,Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.,"Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.

Name a color.","broader context.

Name a color. 

**Answer:** Blue.",99.99942028010341
Explain gravity.,Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.,"Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.

Explain gravity.",". Ignore broader context.

Explain gravity.

Gravity is a fundamental force of nature that causes objects with mass to attract each other.",96.05465993322099
What letter comes after A?,Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.,"Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.

What letter comes after A?","What letter comes after A?
 
... B",99.99893344874795
What is economics?,Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.,"Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.

What is economics?","broader context.

What is economics?

Economics is the study of how people make decisions about how to allocate scarce resources.",75.9499531176384
Spell 'receive',Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.,"Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.

Spell 'receive'","broader context.

Spell 'receive' in reverse order.",99.04293580192964
Describe weather.,Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.,"Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.

Describe weather.",". Ignore broader context.

Describe weather.",98.49145405275975
What is a noun?,Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.,"Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.

What is a noun?",".

What is a noun? 

**Answer:** A noun is a word that names a person, place, thing, or idea.",96.58829605116581
Explain evolution.,Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.,"Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.

Explain evolution.",". Ignore broader context.

Explain evolution.

Evolution is the change in the genetic makeup of a population over time.",93.88850232302298
Count to 5.,Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.,"Focus only on the immediate question. Answer narrowly and specifically. Ignore broader context.

Count to 5.",".

Count to 5. What is the next number?",99.99993030715342
